date,driver_number,meeting_key,position,session_key
2024-06-09 19:12:39.082000+00:00,4,1237,1,9531
2024-06-09 19:12:39.082000+00:00,63,1237,3,9531
2024-06-09 19:13:33.798000+00:00,27,1237,13,9531
2024-06-09 19:13:33.798000+00:00,55,1237,12,9531
2024-06-09 19:13:37.199000+00:00,11,1237,13,9531
2024-06-09 19:13:37.199000+00:00,27,1237,14,9531
2024-06-09 19:13:39.446000+00:00,10,1237,15,9531
2024-06-09 19:13:39.446000+00:00,77,1237,16,9531
2024-06-09 19:16:17.954000+00:00,3,1237,12,9531
2024-06-09 19:16:17.954000+00:00,55,1237,11,9531
2024-06-09 19:16:22.743000+00:00,10,1237,14,9531
2024-06-09 19:16:22.743000+00:00,27,1237,15,9531
2024-06-09 19:17:06.644000+00:00,1,1237,1,9531
2024-06-09 19:17:06.644000+00:00,4,1237,2,9531
2024-06-09 19:18:30.255000+00:00,4,1237,3,9531
2024-06-09 19:18:30.255000+00:00,63,1237,2,9531
2024-06-09 19:21:08.258000+00:00,4,1237,2,9531
2024-06-09 19:21:08.258000+00:00,63,1237,3,9531
2024-06-09 19:22:58.895000+00:00,18,1237,7,9531
2024-06-09 19:22:58.895000+00:00,22,1237,8,9531
2024-06-09 19:23:00.439000+00:00,23,1237,11,9531
2024-06-09 19:23:00.439000+00:00,55,1237,10,9531
2024-06-09 19:23:03.709000+00:00,10,1237,13,9531
2024-06-09 19:23:03.709000+00:00,11,1237,14,9531
2024-06-09 19:23:05.749000+00:00,11,1237,15,9531
2024-06-09 19:23:05.749000+00:00,27,1237,14,9531
2024-06-09 19:23:13.338000+00:00,11,1237,16,9531
2024-06-09 19:23:13.338000+00:00,77,1237,15,9531
2024-06-09 19:23:14.956000+00:00,11,1237,17,9531
2024-06-09 19:23:14.956000+00:00,20,1237,16,9531
2024-06-09 19:24:37.400000+00:00,3,1237,10,9531
2024-06-09 19:24:37.400000+00:00,23,1237,12,9531
2024-06-09 19:24:37.400000+00:00,55,1237,11,9531
2024-06-09 19:24:38.523000+00:00,10,1237,11,9531
2024-06-09 19:24:38.523000+00:00,23,1237,13,9531
2024-06-09 19:24:38.523000+00:00,55,1237,12,9531
2024-06-09 19:24:38.834000+00:00,23,1237,14,9531
2024-06-09 19:24:38.834000+00:00,27,1237,12,9531
2024-06-09 19:24:38.834000+00:00,55,1237,13,9531
2024-06-09 19:24:46.924000+00:00,23,1237,15,9531
2024-06-09 19:24:46.924000+00:00,55,1237,14,9531
2024-06-09 19:24:46.924000+00:00,77,1237,13,9531
2024-06-09 19:24:48.746000+00:00,20,1237,14,9531
2024-06-09 19:24:48.746000+00:00,23,1237,16,9531
2024-06-09 19:24:48.746000+00:00,55,1237,15,9531
2024-06-09 19:25:28.905000+00:00,63,1237,4,9531
2024-06-09 19:25:28.905000+00:00,81,1237,3,9531
2024-06-09 19:25:29.877000+00:00,11,1237,18,9531
2024-06-09 19:25:29.877000+00:00,24,1237,17,9531
2024-06-09 19:27:31.726000+00:00,23,1237,17,9531
2024-06-09 19:27:31.726000+00:00,24,1237,15,9531
2024-06-09 19:27:31.726000+00:00,55,1237,16,9531
2024-06-09 19:37:48.550000+00:00,22,1237,9,9531
2024-06-09 19:37:48.550000+00:00,31,1237,8,9531
2024-06-09 19:40:14.918000+00:00,44,1237,4,9531
2024-06-09 19:40:14.918000+00:00,63,1237,5,9531
2024-06-09 19:42:46.380000+00:00,44,1237,3,9531
2024-06-09 19:42:46.380000+00:00,81,1237,4,9531
2024-06-09 19:44:03.086000+00:00,63,1237,4,9531
2024-06-09 19:44:03.086000+00:00,81,1237,5,9531
2024-06-09 19:44:19.407000+00:00,3,1237,9,9531
2024-06-09 19:44:19.407000+00:00,22,1237,10,9531
2024-06-09 19:44:19.636000+00:00,10,1237,10,9531
2024-06-09 19:44:19.636000+00:00,22,1237,11,9531
2024-06-09 19:44:23.074000+00:00,22,1237,12,9531
2024-06-09 19:44:23.074000+00:00,27,1237,11,9531
2024-06-09 19:44:23.847000+00:00,20,1237,12,9531
2024-06-09 19:44:23.847000+00:00,22,1237,13,9531
2024-06-09 19:44:23.847000+00:00,77,1237,14,9531
2024-06-09 19:44:24.435000+00:00,22,1237,14,9531
2024-06-09 19:44:24.435000+00:00,77,1237,13,9531
2024-06-09 19:45:36.581000+00:00,3,1237,8,9531
2024-06-09 19:45:36.581000+00:00,31,1237,9,9531
2024-06-09 19:46:33.815000+00:00,44,1237,4,9531
2024-06-09 19:46:33.815000+00:00,63,1237,3,9531
2024-06-09 19:48:12.945000+00:00,10,1237,9,9531
2024-06-09 19:48:12.945000+00:00,31,1237,10,9531
