date                             ,driver_number ,gap_to_leader ,interval ,meeting_key ,session_key
2024-06-09 18:04:40.570000+00:00 ,           77 ,14.486        ,1.075    ,       1237 ,       9531
2024-06-09 18:04:40.656000+00:00 ,           14 ,5.163         ,0.961    ,       1237 ,       9531
2024-06-09 18:04:40.914000+00:00 ,           16 ,8.563         ,0.432    ,       1237 ,       9531
2024-06-09 18:04:41.371000+00:00 ,           44 ,5.899         ,0.736    ,       1237 ,       9531
2024-06-09 18:04:41.498000+00:00 ,            1 ,0.959         ,0.959    ,       1237 ,       9531
2024-06-09 18:04:42.147000+00:00 ,           22 ,9.832         ,1.269    ,       1237 ,       9531
2024-06-09 18:04:42.704000+00:00 ,            3 ,7.175         ,1.276    ,       1237 ,       9531
2024-06-09 18:04:42.815000+00:00 ,           23 ,10.512        ,0.68     ,       1237 ,       9531
2024-06-09 18:04:43.023000+00:00 ,           24 ,16.947        ,2.461    ,       1237 ,       9531
2024-06-09 18:04:43.297000+00:00 ,           27 ,10.971        ,0.459    ,       1237 ,       9531
2024-06-09 18:04:43.346000+00:00 ,            4 ,2.786         ,1.827    ,       1237 ,       9531
2024-06-09 18:04:43.643000+00:00 ,           18 ,8.152         ,0.977    ,       1237 ,       9531
2024-06-09 18:04:43.659000+00:00 ,           20 ,8.159         ,0.007    ,       1237 ,       9531
2024-06-09 18:04:44.083000+00:00 ,           55 ,11.706        ,0.735    ,       1237 ,       9531
2024-06-09 18:04:44.166000+00:00 ,           16 ,8.651         ,0.492    ,       1237 ,       9531
2024-06-09 18:04:44.230000+00:00 ,            2 ,11.895        ,0.189    ,       1237 ,       9531
2024-06-09 18:04:44.662000+00:00 ,           81 ,4.132         ,1.346    ,       1237 ,       9531
2024-06-09 18:04:45.109000+00:00 ,           31 ,12.765        ,0.87     ,       1237 ,       9531
2024-06-09 18:04:45.325000+00:00 ,           22 ,9.829         ,1.178    ,       1237 ,       9531
2024-06-09 18:04:45.632000+00:00 ,           14 ,5.07          ,0.938    ,       1237 ,       9531
2024-06-09 18:04:45.885000+00:00 ,           10 ,13.539        ,0.774    ,       1237 ,       9531
2024-06-09 18:04:45.995000+00:00 ,           23 ,10.488        ,0.659    ,       1237 ,       9531
2024-06-09 18:04:46.044000+00:00 ,           11 ,13.663        ,0.124    ,       1237 ,       9531
2024-06-09 18:04:46.375000+00:00 ,           44 ,5.859         ,0.789    ,       1237 ,       9531
2024-06-09 18:04:46.464000+00:00 ,           27 ,10.964        ,0.476    ,       1237 ,       9531
2024-06-09 18:04:47.033000+00:00 ,            1 ,1.251         ,1.251    ,       1237 ,       9531
2024-06-09 18:04:47.119000+00:00 ,           77 ,14.831        ,1.168    ,       1237 ,       9531
2024-06-09 18:04:47.280000+00:00 ,           55 ,11.774        ,0.81     ,       1237 ,       9531
